ě pé 	il a pris
Tə gɑ ghɔm bi po gɑ: Po ló pu gɔ hɑ bí po; po cə́ŋ, po gɔ yɔ; po kǒ'tə jyədyə̌, pu gɔ hé bi po.	Et moi, je vous dis : Demandez, et il vous sera donné ; cherchez, et vous trouverez ; heurtez, et il vous sera ouvert;
A bi a dəŋ pa' a bɑ pǒ pɔk a, po zhyə nə hɑ tsə pɑpuŋ bi pó pɔ́, bɑ mcʉ̌m sʉ'ʉ nə Ta yə e kɛbəŋ a, pa' e gɔ hɑ Zhwenyə Dɔlɔ̌ bi pɔ pyə wap lo a?	Si donc vous qui êtes méchants, vous savez donner à vos enfants des choses bonnes, combienplus le Père qui est du ciel donnera-t-il l’Esprit Saint à ceux qui le lui demandent.
Yeso lə zhə̌ŋ mu' zhwenyə cwəpuŋ yə a dɑ mo gə təghɔm a. Zhwenyə bɔ lə təm nə təghɔm, təghɔm ghɔmnwə. A sya pɔmnəŋ.	Et il chassa un démon qui était muet. Et il arriva que, quand le démon fut sorti, le muet parla ; et les foules s’en étonnèrent.
Tə́ shɑ pɔ cəcɑ̌ pu ghɔm gɑ: E shyə m nə Beɛlzəbul, tadyə̌ mzhwenyə cwəpuŋ tə́ jəŋ zhwenyə cwəpuŋ.	Mais quelques-uns d’entre eux disaient: Il chasse les démons par Béelzébul, le chef des démons.
Shɑ pɔ pɑ shəŋ nə ləŋtə e gɔm bi e gɑ e la'tə wap mtiŋ myə a fɑ́ m kɛbəŋ a.	Et d’autres, pour l’éprouver, lui demandaient un signe du ciel.
Nə pa' mo yə e lo a pu hɑ bi e; mo yə e cəŋ a, bɑ e gɔ yɔ, mo yə e ko'tə jyə dyə a, pu gɔ he dyə bi e.	car quiconque demande, reçoit; et celui qui cherche, trouve; et à celui qui heurte, il sera ouvert.
Yǎ tá mú cəcɑ̌ po bi a pɑ́ mú é lo bapgu bi e, e hɑ nɔk bi é nə tsʉ' bapgu?	quel est le père d’entre vous à qui son fils demandera un pain et qui lui donnera une pierre? ou aussi, [s’il demande] un poisson, lui donnera, au lieu d’un poisson, un serpent?
Yeso lə kwi' gɔm bi pu gɑ: A bi a pɑ mu' mo nə po ghə so e, biŋ gɔ jɔ e téŋ mtsʉ̌' gɔm bi e gɑ: So a, cwyɛ' a msɛ mta' tá.	Et il leur dit: Qui sera celui d’entre vous qui, ayant un ami, aille à lui sur le minuit, et lui dise: Ami, prête-moi trois pains.
Yeso ghɔm bi e gɑ: O pa' tə a puŋ. Pa gə pɑ pa' a, sɔ' bvɔk. Ghɔm tə tutə nə buŋ yə Samaria	Et il lui dit: Tu as bien répondu; fais cela, et tu vivras.
Tə mo bɔ pɑ shəŋ nə la'tə gɑ e bɑ mo dəŋdəŋ gɔm bi Yeso gɑ: Mo yə e bɑ bəŋ m̀ a bɑ wɑ?	Mais lui, voulant se justifier lui-même, dit à Jésus: Et qui est mon prochain?
Kɑ bi a pɑ́ mú lo pəm gɔp bi e, e hɑ gɔmsí bi e? ou aussi.	s’il demande un œuf, lui donnera un scorpion?
Yeso piŋ gɔm gɑ: Mu' mo lə tsə̌ŋ fɑ Yerusalɛm bɑ gɔ m Yeriko. Bvʉ nə bǔ msamshwə, wap lɑ tsə tsyə́ awɛ, dzɔp e tə e cʉ' pɑ pfə, wap ma' e si gɔ.	Et Jésus, répondant, dit: Un homme descendit de Jérusalem à Jéricho, et tomba entre [les mains des] voleurs, qui aussi, l’ayant dépouillé et l’ayant couvert de blessures, s’en allèrent, le laissant à demi mort.
nə pa' mu' so a fɑ məjyə la' gə ywə yə gɑ gɔ hɑ bi e a.	car mon ami est arrivé de voyage chez moi, et je n’ai rien à lui présenter?
A pɑ́ po'o mu' ŋkhamsi pɑ dzəŋ m tsʉ'o bɔ: Jɔ é, kwyəpnyə məjyə, la' e cyə bəŋ é.	par aventure, un sacrificateur descendait par ce chemin-là, et, le voyant, passa outre de l’autre côté.
A gɔ sɔ' pɑ tyɛ'dzʉ nə fyɛ' shɛ, Mɑfo guŋ Mto dzʉ lusi pu a pɔ nə yəŋ wɔdzʉ, é nyəŋ shɛ thə pu, nə pa' e lə fɑ tə dhə dzʉ́ sɔ' ju' zhyənwə Salomoŋ. Tə po zhyə gɑ mo yə e tsɔ'ɔ a bɑ e cyə Salomoŋ.	Une reine du midi se lèvera au jugement avec les hommes de cette génération et les condamnera ; car elle vint des bouts de la terre pour entendre la sagesse de Salomon, et voici, il y a ici plus que Salomon.
A gɔ sɔ' pɑ tyɛ'dzʉ nə fyɛ', pɑ Ninivə lusi pu a pɔ nə yəŋ wɔdzʉ, pɑ Ninivə pɑ nyəŋ shɛ thə pu nə pa' a bɑ wap lě ju' ghɔm Yona bʉɔtʉm tsap a. Tə po zhyə gɑ́ mo yə ě tsɔ'ɔ a bɑ e cyə Yona.	Des hommes de Ninive se lèveront au jugement avec cette génération et la condamneront; car ils se sont repentis à la prédication de Jonas, et voici, il y a ici plus que Jonas.
Sɔmmo tə sumɔk nə lambu nyəŋ cəŋ pɑ́, pu nthʉ́ dəm kwɔ' lam po'o gɑ pɔ pyə wap dyə a yɔ tsʉ'.	Or personne, après avoir allumé une lampe, ne la met dans un lieu caché, ni sous le boisseau, mais sur le pied de lampe, afin que ceux qui entrent voient la lumière.
Lambu nɑ mo bɑ bɛtsə o. Bɛtsə o pɑ nthʉ̀ɔ bɑ guŋ nɑ́ o awɛ gɔ pɑ nthʉ́m dɔlɔ̌; tə bɛtsə o pɑ jɛ́, bɑ guŋ nɑ o awɛ gɔ pɑ nthʉ́m jʉ́m.	La lampe du corps, c’est ton œil; lorsque ton œil est simple, ton corps tout entier aussi est plein de lumière; mais lorsqu’il est méchant, ton corps aussi est ténébreux.
Prends donc garde que la.	Prends donc garde que la lumière qui est en toi ne soit ténèbres.
Mu' tadyə́ jyə mco' ghɔm bi Yeso gɑ: Ta o gɔm pǎ' bɑwə jəmtə ba wɔk yɔk!	Et l’un des docteurs de la loi, répondant, lui dit : Maître*, en disant ces choses tu nous dis aussi des injures.
Yeso pa' bi e gɑ: Ghəghʉɔ bɑ bi po yɔ, wɔ mtadyə nə zhyə mco'. Po nthʉ́ ŋkhəm dzɑtsɑ thə pɔmnəŋ tə bi a pɑ po lə co' nthə pu yɔ nə pɑ́.	Et il dit : À vous aussi, malheur, docteurs de la loi ! car vous chargez les hommes de fardeaux difficiles à porter, et vous-mêmes vous ne touchez pas ces fardeaux d’un seul de vos doigts.
Ghəghʉɔ yɔ, nə pa' po bəm mthəsì mghɔm ghɔ̀m Si pyə mta pɔ lə zhwə wap a.	Malheur à vous ! car vous bâtissez les tombeaux des prophètes, et vos pères les ont tués.
Po biŋ ywə yə mta pɔ lə ghə a nə pa' wap le jwə mghɔm ghɔ̀m Si, po nəŋ bɑwə bəm mthəsì map.	Vous rendez donc témoignage aux œuvres de vos pères et vous y prenez plaisir ; car eux, ils les ont tués, et vous, vous bâtissez leurs tombeaux.
Shɑ pɔ pɑ shəŋ nə ləŋtə e gɔm bi e gɑ e la'tə wap mtiŋ myə a fɑ́ m kɛbəŋ a.	Et d’autres, pour l’éprouver, lui demandaient un signe du ciel.
Yeso zhyə pa' wap lə́ bɑwə ŋkwɛ a gɔm bi pu gɑ: Gúŋ Nəfo tsyə a ghaptə a bɑ guŋ bipǐ; mlǎ' simnyə, bvʉtə pɑ ta' do ta' dò, shɑ́ də̌m shɑ́.	Mais lui, connaissant leurs pensées, leur dit : Tout royaume divisé contre lui-même sera réduit en désert ; et une maison [divisée] contre elle-même* tombe.
A pɑ gɑ ba sata ghaptə nɑ é nə gə mghəŋ bʉə nthʉm shù, bɑ nəfo e gɔ piŋ pɑwə m gɑ ka? Nə pa' po bɑwə gɔm gɑ́ gɑ̌ dɑ pɑ Beɛlzəbul tə nə jəŋ mzhwenyə cwəpuŋ.	et si Satan aussi est divisé contre lui-même, comment son royaume subsistera-t-il ? parce que vous dites que je chasse les démons par Béelzébul.
A pɑ gɑ́ gɑ̌ dɑ Beɛlzəbul tə nə jəŋ mzhwenyə cwəpuŋ bɑ pɑkhʉ pɔ́ dɑ yap kɑ tə nə jəŋ wáp? Pɑkhʉ pɔ gɔ pɑ m ya'shɛ yɔ́.	Or si c’est par Béelzébul que moi je chasse les démons, vos fils, par qui les chassent-ils ? C’est pourquoi ils seront eux-mêmes vos juges.
Tə a bi a pɑ gɑ́ gɑ̌ dɑ nthəpǔ Si tə nə jəŋ mzhwenyə cwəpuŋ bɑ Nəfo Si sɔ' tə ŋkho nə po.	Mais si je chasse les démons par le doigt de Dieu, alors le royaume de Dieu est parvenu jusqu’à vous.
Mbɛ ghə gʉ̌' pu a tsə shu, bɑ byap la' tsyə́ bɑ bi a pɑ sɔmywə lɑ ghə tsə tsyə́.	Quand l’homme fort, revêtu de ses armes, garde son palais*, ses biens sont en paix;
Tə mu' mbɛ yə e ghə gʉ' shyə́ é a la sɔ̌' gəm e, bɑ e gɔ kwi tsə shu tsyə e kɑ nə byap nɑ é a ghaptə tsə tsyə́.	mais s’il en survient un plus fort que lui qui le vainque, il lui ôte son armure à laquelle il se confiait, et fait le partage de ses dépouilles.
Mo yə pyə é tə́ bɑ a pɑ bɑ gɛ bo a, Mo yə pyə̌ tə bəmtə shu'tə a pɑ sa'tə.	Celui qui n’est pas avec moi est contre moi ; et celui qui n’assemble pas avec moi, disperse.
Cwə yə zhwenyə cwəpuŋ nthəm nə mo a, bɑ́ ŋkha mghakgo shəŋ tsʉ' hwitə a, bɑ́ tə yɔ tsʉ' hwitə gɔm gɑ: Gɑ̌ gɔ pɑnyə dyə m̀ tsʉ' yə ŋ də təm nə a.	Quand l’esprit immonde est sorti d’un homme, il va par des lieux secs, cherchant du repos; et n’en trouvant point, il dit : Je retournerai dans ma maison d’où je suis sorti.
E nə sɔ' jɔ dyə bɔ bɑ pu khʉm, nyəŋ m səm nə.	Et y étant venu, il la trouve balayée et ornée.
E ghɔ dɑ shɑ mzhwenyə cwəpuŋ sɔmbʉə bɑ wap pɔk shyə e; wap pu a pu sɔ' ŋkho nə mo bɔ bɑ shwə nə e, yə nə pɑ mo bɔ piŋ bɔk shyə pa' e lə ji bɑ́ a.	Alors il va, et prend sept autres esprits plus méchants que lui-même ; et étant entrés, ils habitent là ; et la dernière condition de cet homme-là est pire que la première.
Pa' Yeso lə pɑ gɔm po'o a, mu' mjwǐ tiŋnyə cəcɑ̌ pɔmnəŋ gɔm bi e gɑ: Buŋtsě mjwǐ yə e lə kwa o vam é biŋ núŋ o a.	Et il arriva, comme il disait ces choses, qu’une femme éleva sa voix du milieu de la foule et lui dit: Bienheureux est le ventre qui t’a porté, et les mamelles que tu as tetées.
Tə Yeso ghɔm gɑ: Mpuŋtsé bɑ pɔ pyə wap ju' ghɔm Si bɑ giŋ pa' a gɔm a.	Et il dit: Mais plutôt, bienheureux sont ceux qui écoutent la parole de Dieu et qui la gardent.
Vəŋ pɔ lə cu'tə bəŋ Yeso, e to' nə ghɔm bi pu gɑ: Yəŋ gɑ wɔ̌dzʉ pɔ, bɑ́ wɔdzʉ́ pɔ cwəpuŋ. Wap wə həŋtə́ msya myə a gɔ pɑ mtiŋ fɑ m bi Si a. Bi a pɑ wap lə piŋ jɔ shɑ msya tə ně da' myə́ Yona.	Et comme les foules s’amassaient, il se mit à dire : Cette génération est une méchante génération ; elle demande un signe ; et il ne lui sera pas donné de signe, si ce n’est le signe de Jonas*.
Nə pa' dəŋdəŋ pa' Yona lə pɑ̌ mtiŋ bi pɑ Ninivə a, dəŋdəŋ po'o, Mú mo gɔ sɔ' pɑ mtiŋ bi wɔ̌dzʉ yəŋ gɑ.	Car comme Jonas fut un signe aux Ninivites, ainsi aussi sera le fils de l’homme à cette génération.
A pɑ po'o bɑ Si yə e bɑ e zhyə awɛ a ghɔm gɑ: Gɑ gɔ sɔ' təm mghɛ ghɔm ghɔ̀m Si ba mghɛ nthəm Si bi pu, wap zhwə shɑ́, biŋ dɑ pyə shɑ́ jɔgo'.	C’est pourquoi aussi la sagesse de Dieu a dit : Je leur enverrai des prophètes et des apôtres, et ils en tueront et en chasseront par des persécutions:
Po'o gɑ Si sɔ' həŋtə nwə bi pɔ nə́ yəŋ wɔdzǔ nə mcyə guŋ mghɛ ghɔm ghɔ̀m Si awɛ myə pu lə pfyə tə fɑ nə́ nyaptə dzʉ̌ a.	afin que le sang de tous les prophètes qui a été versé depuis la fondation du monde soit redemandé à cette génération.
Tə fɑ́ nə́ mcyə Abɛ gɔ ŋkhəm nə́ mcyə Sakaria yə pu lə zhwə e bəŋ tsʉ' nə to ywə nə gamtə Si Dyə Si a, pɔ nə yəŋ gɑ wɔ́dzʉ́ gɔ sɔ' ghɔmnwə nə́.	depuis le sang d’Abel jusqu’au sang de Zacharie, qui périt entre l’autel et la maison : oui, vous disje, il sera redemandé à cette génération.
Ghəghʉɔ yɔ, wɔ mtadyə nə mcò'. Po bɑ po pe ki nə shwɔ' jyədyə̌ zhyənwə: po lə nəŋ ŋkho dyə po lə nəŋ biŋ gɑ pyə shɑ pɔ kodyə pɑ́.	Malheur à vous, les docteurs de la loi ! car vous avez enlevé la clef de la connaissance: vous n’êtes pas entrés vous-mêmes, et vous avez empêché ceux qui entraient.
Yeso lə lǔ tsʉ'u bɔ, pɑ zhyə mcò' ba pɑ Farisai pɑ shú'mshwə nə é, bɑ həŋtə e nthinthi mnwə nə dəŋtə é.	Et comme il leur disait ces choses, les scribes et les pharisiens se mirent à le presser fortement; et ils le provoquaient à parler de plusieurs choses.
Po'o tə́ nə ghəm é nə nwə yə e ghɔm a.	lui dressant des pièges, et cherchant à surprendre quelque chose de sa bouche, afin de l’accuser.
lə nə pɑ̌ po'o bɑ pɔmnəŋ cu'tə pɔ sha' shǎ', mpfɑ mpfɑ̌ tə bɑwə nthənyə. Yeso pɑ gɔm bi pɑkhʉ pyə gɑ: Po pɔmtə ywə kwɔ'msɛ̌ pɑ Farisai, yə a bɑ nə tsɛ bu jʉm pʉə a.	Cependant les foules s’étant rassemblées par milliers, de sorte qu’ils se foulaient les uns les autres, il se mit, avant tout, à dire à ses disciples: Tenez-vous en garde contre le levain des pharisiens, qui est l’hypocrisie.
Bǎ kɑ́lə́ yə pu tʉm a, pu gɔ sɔ' la'tə; bǎ kɑ́lə́ yə a mcàm a, pu gɔ sɔ' zhyə́.	Mais il n’y a rien de couvert qui ne sera révélé, ni rien de secret qui ne sera connu.
A pɑ́ gɑ guŋ nɑ o awɛ wə bɑ nthʉm ŋkha' awɛ, tə muywə jʉm bɑ nə e, bɑ e bɑ nthʉm ŋkha' pa' lam dɑ ŋkha' e nə ŋkhyɛ' o a.	Si donc ton corps tout entier est plein de lumière, n’ayant aucune partie ténébreuse, il sera tout plein de lumière, comme quand la lampe t’éclaire de son éclat.
Yeso lə pɑ gɔm po'o mu' yə Farisai ke e gɑ pu e tsʉ ywə dyə e. E lə ko dyə e shwə́ tɑpe.	Et comme il parlait, un pharisien le pria de dîner chez lui ; et entrant, il se mit à table.
Yə farisai e bɔ yɔ pa' Yeso dzʉywə tə sɔk bu a, nwə cyə e.	Mais le pharisien, voyant [cela], s’étonna parce qu’il ne s’était pas premièrement lavé avant le dîner.
Cyəpɔ ghɔm bi e gɑ: Wɔ pɑ Farisai, pǒ sɔk yɔ kɛ pú nthǔ' pɑ jʉmdzʉ, tə bɑ m nthʉm o bɑ cǔŋ pu a yapnwə lo nə po.	Et le Seigneur lui dit : Pour vous, pharisiens, vous nettoyez le dehors de la coupe et du plat, mais au dedans vous êtes pleins de rapine et de méchanceté.
Wɔ mfʉ́mnyə́ pɔ! Tə́ mo yə́ e lə ghə jʉm dzʉ̌ a, nə lə́ gə jʉm nthʉ̌m o a?	Insensés! celui qui a fait le dehors, n’a-t-il pas fait le dedans aussi?
Po hɑ pɑ ywə yə ǎ m nthʉ̌m tʉm po a nə ŋkwitə mpəŋ, po'o gɑ guŋ ywə awɛ pɑ dɔlɔ̌ bi po.	Mais donnez l’aumône de ce que vous avez ; et voici, toutes choses vous seront nettes.
Tə́ ghəghʉɔ bɑ bi po, wɔ pɑ Farisai. Po gaptə tsə́ tsyə po dzʉ' a nə gə jyə ghǎm bɑ hɑ ta' jyə bi Si: Po gə po'o biŋ dʉɔnyə nə pɑ dəŋdəŋ ba nə kuŋ Si. Yəŋ gɑ bɑ dzə ywə yə́ po kɑ́ bɑ gɔ to' m nə tə́ ghə pyə shɑ tsə a.	Mais malheur à vous, pharisiens ! car vous payez la dîme de la menthe et de la rue* et de toute sorte d’herbe, et vous négligez le jugement et l’amour de Dieu : il fallait faire ces choses-ci, et ne pas laisser celles-là.
Ghəghʉɔ yɔ, wɔ pɑ Farisai wɔ pyə po ŋkhuŋ dəŋdzə ŋkwɔ' dyə Sinagogə pu a nə ca'tə pɔ dəm sim a.	Malheur à vous, pharisiens ! car vous aimez les premiers sièges dans les synagogues, et les salutations dans les places publiques.
Ghəghʉɔ yɔ, wɔ pyə pǒ bɑ pa' mthəsì myə pu giŋ dəm o tə zhyə, la' pu pɑ jɔ a.	Malheur à vous! car vous êtes comme les sépulcres qui ne paraissent pas ; et les hommes, marchant dessus, n’en savent rien.
Gɑ siŋ wɔ gɑ bǎ ya mo lə yə e piŋ dzə pɔmnəŋ gɑ pyə e nə bɑ a, bɑ Mú mo gɔ piŋ dzə pɑ aŋgəle Si gɑ pu e bəm bɑ.	Quiconque m’aura confessé devant les hommes, le fils de l’homme le confessera aussi devant les anges de Dieu;
Tə mo yə e kəŋnyə a dzə pɔmnəŋ a bɑ pu gɔ sɔ' kəŋnyə e dzə pɑ aŋgəle Si.	Et je vous dis: mais celui qui m’aura renié devant les hommes sera renié devant les anges de Dieu.
Bɑ̌ wɑlə́ yə e ghɔmnwə cwəpuŋ nə Mú mo a, bɑ pu gɔ sɔ' nə cwyɛ' e; tə mo yə e cap Zhwenyə Dɔlɔ̌ a bɑ pu tə gɔ sɔ' nə cwyɛ' é pɑ.	Et quiconque parlera contre le fils de l’homme, il lui sera pardonné; mais à celui qui aura proféré des paroles injurieuses contre le Saint Esprit, il ne sera pas pardonné.
Pu pɑ dɑ wɔ gɔ m dzə̌ pɑ ya' shɛ Sinagogə ka lam tsɔ́ sɔ́ nə ywə yə pǒ gɔ ko tsʉ'u ghɔm a.	Et quand ils vous mèneront devant les synagogues et les magistrats et les autorités, ne soyez pas en souci comment, ou quelle chose vous répondrez, ou de ce que vous direz;
Nə pa' Zhwenyə Dɔlɔ̌ gɔ kó tsʉ'u pɑ́ cwə o bɔ siŋ wɔ́ ywə yə po gɔ ghɔm a.	car le Saint Esprit vous enseignera à l’heure même ce qu’il faudra dire.
A po'o tə guŋ ywə yə po ghɔm m nthʉm jʉ́m a pu ghɔ sɔ' yu' dɔdzʉ̌; ywə yə po camtə təŋ mo m dyə̌ a, pu ghɔ sɔ' tiŋnyə do pa' tə́ ghɔm.	C’est pourquoi toutes les choses que vous avez dites dans les ténèbres seront entendues dans la lumière, et ce dont vous avez parlé à l’oreille dans les chambres sera publié sur les toits.
Gɑ̌ wə gɔm bi wɔ mso pɑ̌ gɑ: Ka po pwɔk pɔ pyə bi a pɑ wap zhwə́ bap nɑ́ tə bi a pɑ wap lə piŋ gə sɔmywə a.	Mais je vous dis à vous, mes amis : Ne craignez pas ceux qui tuent le corps et qui après cela ne peuvent rien faire de plus;
Gɑ gɔ la'tə wɔ mo yə bi a pɑ po pwɔk e a: Po pwɔk mo yə bi a pɑ e zhwə mo biŋ nyəŋ e nthʉm tsʉ' go' a. Gɑ siŋ wɔ gɑ a mo yə bi a pɑ po pwɔk é a.	mais je vous montrerai qui vous devez craindre : craignez celui qui, après avoir tué, a le pouvoir de jeter dans la géhenne*: oui, vous dis-je, craignez celui-là.
Pu tə́ fiŋ mcici pɑtɔ nə tsə bɛ pʉ̌ə a? Tə́ Si lə nəŋ bɑ dʉɔnyə sɔm nə pú.	Ne vend-on pas cinq passereaux pour deux sous* ? et pas un seul d’entre eux n’est oublié devant Dieu.
Tə́ ŋkhəm pɑ nə nəŋ thə́ yɔ, Si bɑ e sɛ wɛ. Ka po pwɔk. Pǒ bɑ pǒ cyə́ mcící.	Mais les cheveux même de votre tête sont tous comptés. Ne craignez donc pas : vous valez mieux que beaucoup de passereaux.
Mu' mo lə tiŋnyə cəcɑ̌ pɔmnəŋ gɔm bi Yeso gɑ: Ta: Ghɔm bi fɑ a gɑ e ghaptə tsə mcʉ' mɔk pyə e hɑ mə̌.	Et quelqu’un lui dit du milieu de la foule : Maître*, dis à mon frère de partager avec moi l’héritage.
Yeso ghɔm bi e gɑ: Wɑ bɑ e lɑ á nə gə gɛ ya' shɛ yə é gɔ ghaptə tsə mcʉ' mɔ cəcɑ̌ po a?	Mais il lui dit : Homme, qui est-ce qui m’a établi sur vous [pour être votre] juge et pour faire vos partages?
E lə piŋ gɔm bi pu gɑ: Po pɔm ghi'nyə, nə pa' vɔk mo tə bɑ m nə dəŋ tsə tsyə́ pɑ, kɑ e la' ji pɑ gɑ kɑ́ lə.	Et il leur dit : Voyez, et gardez-vous de toute avarice ; car encore que quelqu’un soit riche, sa vie n’est pas dans* ses biens.
E lə ghɔ́m ghɔm tə tutə bi pu gɑ: Mu' gɛ ywə lə ghə pe é; potsə puŋ nthʉm o te' ó.	Et il leur dit une parabole, disant : Les champs d’un homme riche avaient beaucoup rapporté;
E sɛ nthʉ́m tʉm e gɑ: Gɑ̌ gɔ ghə gɑ́ kɑ? Nə pa' ŋ kha ghə tsʉ' yə gɑ̌ gɔ nyəŋ tsə tsɑ̌ nə a.	et il raisonnait en lui-même, disant : Que ferai-je, car je n’ai pas où je puisse assembler mes fruits?
E lə piŋ gɔm gɑ: Ywə yə gɑ gɔ ghə a, gɑ̌ gɔ sa'tə mthɛ mə̌, piŋ pəm shɑ myə gwyə́gwyə́, nyəŋ guŋ msɛtʉɔ ba guŋ tsə tsɑ̌ nthʉm o awɛ.	Et il dit : Voici ce que je ferai : j’abattrai mes greniers et j’en bâtirai de plus grands, et j’y assemblerai tous mes produits et mes biens;
Piŋ ghɔm bi tʉm tsǎ gɑ: A yɑ bɑ o ghə tsə tə a yɔm, tsə tsyə a gɔ cwə nə mgu' jɔmyɔ̌m a. Hwitə nɑ o, bɑ dzʉ́ pɑ ywə́, biŋ nwə́ pɑ ywə́, bɑ ŋwɛ́nyə́.	et je dirai à mon âme : [Mon] âme, tu as beaucoup de biens assemblés pour beaucoup d’années ; repose-toi, mange, bois, fais grande chère.
Tə́ Si ghɔm bi é gɑ: Fʉmnyə́ mo! Pɑ kwa' mtsʉ' tyɛ'ɔ́, pu gɔ kwi vɔk o, tsə tsyə o dwɔ' a, a cʉ' tsyə wɑ?	Mais Dieu lui dit : Insensé ! cette nuit même ton âme te sera redemandée ; et ces choses que tu as préparées, à qui seront-elles ?
Yɔ ywə yə a nthəm nə mo yə e gə tsə́, a pɑ́ pɑ tsyə, la' a pɑ́ bɑ é zhi nə Si a yəŋ.	Il en est ainsi de celui qui amasse des trésors pour lui-même, et qui n’est pas riche quant à Dieu. Nə́ yap tʉ̌m nə́ Si.
Yeso piŋ gɔm bi pɑkhʉ pyə gɑ: Á ywə yə á gə tə́ gɔm bi po gɑ́: Ka lam tsɔ pɑ sɔ nə vɔk yɔ nə ywə yə po gɔ ti tə tsʉ a, ba nə́ nɑ tsɔ nə́ dzə́ yə po gɔ kwa a.	Et il dit à ses disciples : À cause de cela, je vous dis : Ne soyez pas en souci pour la vie, de ce que vous mangerez ; ni pour le corps, de quoi vous serez vêtus:
Nə pa' vɔk bɑ ǎ tʉɔ shyə ywətsʉ, ba nɑ mo piŋ nthʉɔ shyə dzə́.	la vie est plus que la nourriture, et le corps plus que le vêtement.
Po yɔ mŋwə́ŋwə tə jɔ: Wap tə dzə ywə pɑ, wap lə piŋ bɑ dɑ ywə nyəŋ dyə; bɑ wap ka nəŋ gə́ mthɛ kɑ ŋkhiŋ lə; tə Si ŋkhim wap, tə mcʉ́m sʉ'ʉ nə́ wɔ pyə́ á bɑ pó cyə́ pǒ msə́ŋ a?	Considérez les corbeaux : ils* ne sèment ni ne moissonnent, et ils n’ont pas de cellier ni de grenier ; et Dieu les nourrit : combien valez-vous mieux que les oiseaux!
Tə ba tə po'o bi a ya mo nə po sɔlam nə vɔk po'o tə ŋkwi' muywə nə vɔk e.	Et qui d’entre vous, par le souci qu’il se donne, peut ajouter une* coudée à sa taille?
A bi a pɑ gɑ́ po ka ghə gʉ' nə gə sɔm muywə bɑ po biŋ sɔlam dəŋ po'o nə kʉ̌.	Si donc vous ne pouvez pas même ce qui est très petit, pourquoi êtes-vous en souci du reste ?
Po yɔ mtutuŋ mghe. Wap tə si' dap a, wap lə nəŋ bɑ ba' dzə. Tə gɑ siŋ wɔ gɑ fo Salomoŋ nthʉm guŋ nəfo tsyə́ awɛ, la tə kwa buŋ dzə́ pa' sɔm a.	Considérez les lis, comment ils croissent : ils ne travaillent ni ne filent ; cependant je vous dis que même Salomon, dans toute sa gloire, n’était pas vêtu comme l’un d’eux.
A bi a Si pɑ ŋkwa dzə́ nə mghe po'o, mghe myə pu gɔ ti to mɔk a, bɑ a gɔ pɑ m gɑ́ kɑ nə pǒ? Wɔ pyə piŋnthʉm yɔ bɑ a kɔk a?	Et si Dieu revêt ainsi l’herbe qui est aujourd’hui au champ et qui demain est jetée dans le four, combien plus vous [vêtira-t-il], gens de petite foi!
