Sen_fre ,Sen_gho
"et il envoya devant sa face des messagers. Et s’en étant allés, ils entrèrent dans un village de Samaritains pour lui préparer [un logis];",Nth?m mgh? nth?m dz? e. Wap l? gh? t? ?kho nth?m mu' pf? la' nth?m gu? Samaria n? nyapt? ts?' bi Yeso.
"et ils ne le reçurent point, parce que sa face était tournée vers Jérusalem.","P? ts?'u b? k??ny? n? l? wap, n? pa' wap l? b?w? g? m Yerusal?m a."
"Et ses disciples, Jacques et Jean, voyant cela, dirent: Seigneur, veux-tu que nous disions que le feu descende du ciel et les consume, comme aussi fit Élie?","Yakop pu Yohane l? y? po'o, g?m g?: Cy?p?, o pi? g? py? ke m?k, a fi' f? th?? k?b?? s?' si'ny? wap a?"
"Et, se tournant, il les censura fortement [et dit : Vous ne savez de quel esprit vous êtes animés]!","Yeso f? n? e de wap, sh?kt? wap sepu a pu gh? n? mu' gu? dy?'. Wa' gu? yw? aw?, yap j??m Yeso"
"Et il arriva, comme ils allaient par le chemin, qu’un certain homme lui dit: Seigneur, je te suivrai où que tu ailles.","Wap l? p? m??jy?, mu' mb? gh?m bi Yeso g?: G? g? yap j??m o, t? ko ba? h?? l?? y? o gh? a."
"Et Jésus lui dit : Les renards ont des tanières, et les oiseaux du ciel ont des demeures ; mais le fils de l’homme n’a pas où reposer sa tête.","Yeso gh?m bi e g?: Ms??s?m b? wap gh? mgh??m map, po?ms?? to k?b?? gh? mk? máp, t?? Mú mo b? e ka gh? ts?' n? yap th?? é n??."
"Et il dit à un autre: Suis-moi ;et il dit : Seigneur, permets-moi d’aller premièrement ensevelir mon père.",Bi? g?m bí mu' mo g?: Yap j??m m?. Mo b? gh?m g?: Ta pi? g? d???dz? g? nth?? ta á.
"Et Jésus lui dit: Laisse les morts ensevelir leurs morts ; mais toi, va et annonce le royaume de Dieu.","Yeso gh?m bi e g?: Tak mpf? p? wap t?? mpf? p? pap, s?' m n? o, gh? si? N?fo Si."
"Et un autre aussi dit: Je te suivrai, Seigneur; mais permets-moi de prendre premièrement congé de ceux qui sont dans ma maison.","Mu' mo kwi' g?m bi e g?: Ta g? g? yap j?m o, da' g? pi? b?m g?? g? py? a mf? p?? la'ny?."
"Et Jésus lui dit: Nul qui a mis la main à la charrue et qui regarde en arrière, n’est propre pour le royaume de Dieu.","Yeso gh?m bi e g?: Mo y? e? ky?p sú n? dz?'ne, dé j?m a, ka ku'ny? n?? N?fo Si."
"Or après ces choses, le Seigneur en désigna aussi soixante-dix autres, et les envoya deux à deux devant sa face dans toutes les villes et dans tous les lieux où il devait lui-même aller.","A l? p? po'o, Cy?p? cw?' sh? p?kh? py? shw?pp?? mgham s?mb??, nth?m wap p?p?? p?p?? dz? e, nth?m gu? mtisu? aw? ba gu? my? sh? mts?' my? kwa' y? Cy?p? l?? b? g? gh? n? a."
"Il leur disait donc : La moisson est grande, mais il y a peu d’ouvriers : suppliez donc le Seigneur de la moisson, en sorte qu’il pousse des ouvriers dans sa moisson.","E l? gh?m bi pu g?: Ts?? l? ny??? dy? y?m, mgh? fa' k?k; po cwy?'ny? Cy?p? g? e cya sh? mgh? fa' pe é n? l? ts? ny??? dy?."
"Allez; voici, moi je vous envoie comme des agneaux au milieu des loups.",Po gh??! G?? nth?m w? pa' mj??j?? a c?c?? mbv?? go.
"Ne portez ni bourse, ni sac, ni sandales ; et ne saluez personne en chemin.","Ka po l? pét??, ka po l? p???, ka po l? mthap; po k? ca't? s?mmo m?jy?."
"Mais, dans quelque maison que vous entriez, dites premièrement: Paix sur cette maison!",Po ko ba? n? ya dy?? l? po l??dz? g?m g?: Hwit?? bi dy? y?? g?.
"Et si un fils de paix est là, votre paix reposera sur elle*, sinon elle retournera sur vous.","Bya mo hwit? p? dy? b? b? hwit?? y? g? ko n? e, tak po'o b?? hwit?? y? g? wu? n? po."
"Et demeurez dans la même maison, mangeant et buvant de ce qui [vous sera offert] de leur part; car l’ouvrier est digne de son salaire. Ne passez pas de maison en maison.","Po cw? dy? b?, dz?? bi? nw? yw? y? pu h? bi po a n? pa' ba? ya g?fa' l? b? e ku' n? mcw?'fa' my??. Ka po ko mdy??dy??."
"Et dans quelque ville que vous entriez et qu’on vous reçoive, mangez de ce qui sera mis devant vous.","Po ko ba? n? ya tisu? l?? t? pu ny?? w? dy??, po ts? yw? y? pu g? h? bi po a."
"et guérissez les infirmes qui y seront, et dites-leur : Le royaume de Dieu s’est approché de vous.","J? mgh? gho py? wap g? p? nth?m tisu? b? a, g?m bi pu g?: N?fo Si s?' t? b? b?? po."
"Mais dans quelque ville que vous soyez entrés et qu’on ne vous reçoive pas, sortez dans ses rues et dites:","T? ba? ya tisu? l?? y? po ko n? la' pu pi? n? ny?? w? dy? a, po gh?? m?jy?, g?m g?:"
"La poussière même de votre ville, qui s’est attachée à nos pieds*, nous la secouons contre vous; mais sachez ceci, que le royaume de Dieu s’est approché.",Py? ts?p v?p ts?? n? mkw? m?k t?? po zhy? g? N?fo Si s?'.
Je vous dis que le sort de Sodome sera plus supportable en ce jour-là que celui de cette ville-là.,"Ga si? w? g? a g? la' p? ty?'dz? b?, Sod?m l? p? s?myw? n? y? go' tisu? b?."
"Malheur à toi, Chorazin ! malheur à toi, Bethsaïda ! car si les miracles qui ont été faits au milieu de vous eussent été faits dans Tyr et dans Sidon, il y a longtemps qu’elles se seraient repenties, s’étant assises dans le sac et la cendre;","Korazin, o b? g? gh?gh??! Betsaida, o b? g? gh?gh??! N? pa' msyanw? my? pu g? bi po a, a l? pe' b? m Tiro pu Sidon b? wap le? da' b??t?m tsap t? shi' v? bi? ?kwa mko' p???."
"mais le sort de Tyr et de Sidon, au jugement, sera plus supportable que le vôtre.","A po'o t? a g? s?' p? ty?'dz? n? fy?', go' Tiro pu Sidon l? p? s?myw? n? yù."
"Et toi, Capernaüm, qui as été élevée jusqu’au ciel, tu seras abaissée jusque dans le hadès*.","S?' m n? o Kap?rnaum, o kw?' t? ?kho p? k?b??, b? o g? s?' fi' t? ko gu? mpf? a v??."
"a Celui qui vous écoute, m’écoute ; et celui qui vous rejette, me rejette ; et celui qui me rejette, rejette celui qui m’a envoyé.","Yeso l? kwi' g?m bi p?kh? py? g?: Mo y? e pi? w? a, b? e pi? a. Mo y? e k??ny? w? a, b? e k??ny? a; mo y? e k??ny? a á, b? e k??ny? mo y? e nth?m á."
"Et les soixante-dix s’en revinrent avec joie, disant: Seigneur, les démons mêmes nous sont assujettis en ton nom.","Mgh? nth?m p? shw?pp?? mgham s?mb?? l? l?? ?w?ny? b?ny?, g?m bi e g?: Cy?p?: Ba mzhweny? cw?pu? yu' shw? y?k n? cw? y? py? d? tso tsu g?m nw? bi pu a."
Et il leur dit : Je voyais Satan tombant du ciel comme un éclair.,Yeso gh?m bi pu g?: ? d? y? Sata e f? k?b?? bv? pa' p?pa' b?? a.
"Voici, je vous donne l’autorité de marcher sur les serpents et sur les scorpions, et sur toute la puissance de l’ennemi ; et rien ne vous nuira;","Po yu', ? d? h? t?? bi po n?? n? gi? n? mn?k ba m n?? mg?msi?, n?? n? hya g?' g? bo t? s?myw? cw?pu? g? w?."
"toutefois ne vous réjouissez pas de ce que les esprits vous sont assujettis, mais réjouissez-vous parce que vos noms sont écrits dans les cieux.",T? ka po ?w?ny? p?? g? mzhweny? cw?pu? yu'shw? y?; po ?w?ny? m g?? pu v? mtso mo k?b??.
"Toutes choses m’ont été livrées par mon Père ; et personne ne connaît qui est le Fils, si ce n’est le Père; ni qui est le Père, si ce n’est le Fils, et celui à qui le Fils voudra le révéler.","Ta o le? h? gu? yw? aw? b?m, b? s?mmo ka n?? jy? mo y? Mú b? e a t? ne? da' Tá, s?mmo l? n?? jy? Tá, t? ne? da' Mú, bi? g? mo y? Mú gh? g? e zhy? é a."
"Et se tournant vers les disciples, il leur dit en particulier : Bienheureux sont les yeux qui voient ce que vous voyez!",Bi? f? n? e g?m bi p?kh? py? g?: Mpu?tsé mny? my? a w? j? yw? y? po w? j? a!
"Car je vous dis que plusieurs prophètes et [plusieurs] rois ont désiré de voir les choses que vous voyez, et ils ne les ont pas vues, et d’entendre les choses que vous entendez, et ils ne les ont pas entendues.","N? pa' g? si? w? s?s?? g? mgh??m gh??m Si ba mfo t? j?m l? c?? n? y? yw? y? po? w? j? a, la' wap y?, n? yu' yw? y? po? w? ju' a, la' wap yu'. N? ku? Si, n? ku? mo y? e b?? o a"
"Et voici, un docteur de la loi se leva pour l’éprouver, et dit : Maître, que faut-il que j’aie fait pour hériter de la vie éternelle?","Mu' tady? n? n? zhy? mco' l? lu?si d??t? e g?m bi e g?: Ta, g? g? gh? g? k? t? s?' kwi v?k mama a?"
Et il lui dit : Qu’est-il écrit dans la loi ? Comment lis-tu?,Yeso gh?m bi e g?: A b? pu v? g? k? nth?m mcò' o? O ?khe nth?m o g?? k??
"Et répondant, il dit : «Tu aimeras le *Seigneur ton Dieu de tout ton cœur, et de toute ton âme, et de toute ta force, et de toute ta pensée»; «et ton prochain comme toi-même»","E pa' bi e g?: O g? p? ku? Cy?p? Si o n? gu? t?m ts? aw?, n? gu? lam ts? aw?, n? gu? g?' o aw?, b? n? gu? mkw?ny? mu aw? pi? ku? mo y? e b?? o a pa' o ?khu? th?? n? o a."
"Et il arriva, comme ils étaient en chemin, qu’il entra dans un village. Et une femme nomméeMarthe le reçut dans sa maison.","Pa' Yeso pu a p?kh? py?? l? p? m?jy? e ko nth?m mu' gu?, mu' mjwi?, tso tsy? p? Marta l? e dy?."
"Et elle avait une sœur appelée Marie, qui aussi, s’étant assise aux pieds de Jésus*, écoutait sa parole;","Mu' f? mjwi? b?, tso tsy? p? Maria l? cw? dz? cy?p? b?w? ju' gh?m tsy?."
"mais Marthe était distraite par beaucoup de service. Et étant venue à Jésus, elle dit : Seigneur, ne te soucies-tu pas de ce que ma sœur me laisse toute seule à servir ? Dis-lui donc qu’elle m’aide.",Marta pa' e l? b?w? j?zh?? n? mfa' dy? a s?' g?m g?: Cy?p? ja a t?? po'o b?w? g? s?myw? n? o g? f? a tak gu? mfa' aw? b?m do m? a l?? Gh?m bi é g? é s?' ?kwit? a.
"Et Jésus, lui répondant, dit : Marthe, Marthe, tu es en souci et tu te tourmentes de beaucoup de choses,","Cy?p? gh?m bi e g?: Marta, Marta, o b?w? jwi?, b? dz?p n? o n? ts? y??m."
mais il n’est besoin que d’une seule ; et Marie a choisi la bonne part qui ne lui sera pas,"T? a p?w? sh?? da' ta' yw? y?mu'. Maria b? e cw?' y? nth??, bi a p?? pú l?? kwi bi e."
"Et comme il était en prière dans un certain lieu, il arriva, après qu’il eut cessé, que quelqu’un de ses disciples lui dit : Seigneur, enseigne-nous à prier, comme aussi Jean l’a enseigné à ses disciples.","Yeso l? p? mu' ty?'dz? n? mu' ts?' b??w? shwy?'ny? Si. E l? mi? n? cwy?'ny? Si, mu' mukh? e gh?m bi e g?: Cy?p? zhi't? w?k n? cwy?'ny? Si pa' Yohane l? zhi't? bi p?kh? py? a."
"Et il leur dit : Quand vous priez, dites : Père, que ton nom soit sanctifié ; que ton règne vienne;","E gh?m bi pu g?: Po p? shwy?'ny? Si po gh?m g?:Ta, gh?? tso ts?? p? d?l??. Gh?? N?fo tsu? s??'."
donne-nous chaque jour le pain qu’il nous faut;,P? h? y?k d?? yw?ts? ba? n? ya ty?'dz? l??
"et remets-nous nos péchés, car nous-mêmes aussi nous remettons à tous ceux qui nous doivent ; et ne nous induis pas en tentation*.",L? mh? m?k n? shwy?' w?k n? pa' py? d? mh? py?sh? p? shwy?' wap. K? pi? g? ml??t? ko n? py?.
"et pareillement aussi un lévite, étant arrivé en cet endroit-là, s’en vint, et, le voyant, passa outre de l’autre côté;","Mu' mo n? ?kh?ny? p? Levi l? p? shy? y?? j? é, ?kwy?pny? m?jy?."
"mais un Samaritain, allant son chemin, vint à lui, et, le voyant, fut ému de compassion.","T?? mu' y? Samaria l? p? g? m t??m, ?wak b?? mo b?, j?? e, mtso my?? ku e."
"et s’approcha et banda ses plaies, y versant de l’huile et du vin ; et l’ayant mis sur sa propre bête, il le mena dans l’hôtellerie et eut soin de lui.","e gh? t?? b?? e, ?kw? mfi? my??, n? ?kw? ny?? mlu' ba mw? n??, ?kwá é d?m le? é, pu e gh? dy? mgh??, e nyapt? e."
"Et le lendemain, s’en allant, il tira deux deniers et les donna à l’hôtelier, et lui dit: Prends soin de lui; et ce que tu dépenseras de plus, moi, à mon retour, je te le rendrai.","Dz? l? l?? e té ?kháp b? p?? h? bi g? dy??, g?m g?, c?' b? n? nyapt? e. O sim ?khap a cy? p? pa', b? g? ti n? cy? tù?."
Lequel de ces trois te semble avoir été le prochain de celui qui était tombé entre les [mains des] voleurs?,O y? yu g? ya mo n? p? p? g? p?tá le? da't? g? e b? b?? mo y?? g? y? e l? v? n? bu msamshw? a?
"Et il dit: C’est celui qui a usé de miséricorde envers lui. Et Jésus lui dit: Va, et toi fais de même.",Tady? jy? mco' gh?m g?: Mo y? e l? c?mmtso my?? a. Yeso gh?m bi e g?: Gh?? bi? ?kho b? g? po'o ba w? yu?.
"et celui qui est dedans, répondant, dira : Ne m’importune pas ; la porte est déjà fermée, et mes enfants sont au lit avec moi ; je ne puis me lever et t’en donner.","So e b? pi? nthi?ny? dy? g?m g? k? pakny? a, g? é da' jo' dy?, py? a po p? é da' nu? kody?; bi a p?? ? d? lusi n? h? ms? bu p??."
"Je vous dis que, bien qu’il ne se lève pas et ne lui en donne pas parce qu’il est son ami, pourtant,à cause de son importunité*, il se lèvera et lui en donnera autant qu’il en a besoin.","G?? si? w? g?; e p? t? lusi h? ms? bi e pa' e so e a, b? e g? lusi pa' e n? bakny? e a, h? gu? yw? aw? bi e."
"Et moi, je vous dis : Demandez, et il vous sera donné ; cherchez, et vous trouverez ; heurtez, et il vous sera ouvert;","T? g? gh?m bi po g?: Po ló pu g? h? bí po; po c???, po g? y?; po ko?'t? jy?dy??, pu g? hé bi po."
"Si donc vous qui êtes méchants, vous savez donner à vos enfants des choses bonnes, combienplus le Père qui est du ciel donnera-t-il l’Esprit Saint à ceux qui le lui demandent.","A bi a d?? pa' a b? po? p?k a, po zhy? n? h? ts? p?pu? bi pó p??, b? mc??m s?'? n? Ta y? e k?b?? a, pa' e g? h? Zhweny? D?l?? bi p? py? wap lo a?"
"Et il chassa un démon qui était muet. Et il arriva que, quand le démon fut sorti, le muet parla ; et les foules s’en étonnèrent.","Yeso l? zh??? mu' zhweny? cw?pu? y? a d? mo g? t?gh?m a. Zhweny? b? l? t?m n? t?gh?m, t?gh?m gh?mnw?. A sya p?mn??."
"Mais quelques-uns d’entre eux disaient: Il chasse les démons par Béelzébul, le chef des démons.","T?? sh? p? c?c?? pu gh?m g?: E shy? m n? Be?lz?bul, tady?? mzhweny? cw?pu? t?? j?? zhweny? cw?pu?."
"Et d’autres, pour l’éprouver, lui demandaient un signe du ciel.",Sh? p? p? sh?? n? l??t? e g?m bi e g? e la't? wap mti? my? a f?? m k?b?? a.
"car quiconque demande, reçoit; et celui qui cherche, trouve; et à celui qui heurte, il sera ouvert.","N? pa' mo y? e lo a pu h? bi e; mo y? e c?? a, b? e g? y?, mo y? e ko't? jy? dy? a, pu g? he dy? bi e."
"quel est le père d’entre vous à qui son fils demandera un pain et qui lui donnera une pierre? ou aussi, [s’il demande] un poisson, lui donnera, au lieu d’un poisson, un serpent?","Ya? tá mú c?c?? po bi a p?? mú é lo bapgu bi e, e h? n?k bi é n? ts?' bapgu?"
"Et il leur dit: Qui sera celui d’entre vous qui, ayant un ami, aille à lui sur le minuit, et lui dise: Ami, prête-moi trois pains.","Yeso l? kwi' g?m bi pu g?: A bi a p? mu' mo n? po gh? so e, bi? g? j? e té? mts??' g?m bi e g?: So a, cwy?' a ms? mta' tá."
"Et il lui dit: Tu as bien répondu; fais cela, et tu vivras.","Yeso gh?m bi e g?: O pa' t? a pu?. Pa g? p? pa' a, s?' bv?k. Gh?m t? tut? n? bu? y? Samaria"
"Mais lui, voulant se justifier lui-même, dit à Jésus: Et qui est mon prochain?",T? mo b? p? sh?? n? la't? g? e b? mo d??d?? g?m bi Yeso g?: Mo y? e b? b?? m? a b? w??
"s’il demande un œuf, lui donnera un scorpion?","K? bi a p?? mú lo p?m g?p bi e, e h? g?msí bi e? ou aussi."
"Et Jésus, répondant, dit: Un homme descendit de Jérusalem à Jéricho, et tomba entre [les mains des] voleurs, qui aussi, l’ayant dépouillé et l’ayant couvert de blessures, s’en allèrent, le laissant à demi mort.","Yeso pi? g?m g?: Mu' mo l? ts??? f? Yerusal?m b? g? m Yeriko. Bv? n? bu? msamshw?, wap l? ts? tsy?? aw?, dz?p e t? e c?' p? pf?, wap ma' e si g?."
"car mon ami est arrivé de voyage chez moi, et je n’ai rien à lui présenter?",n? pa' mu' so a f? m?jy? la' g? yw? y? g? g? h? bi e a.
"par aventure, un sacrificateur descendait par ce chemin-là, et, le voyant, passa outre de l’autre côté.","A p?? po'o mu' ?khamsi p? dz?? m ts?'o b?: J? é, kwy?pny? m?jy?, la' e cy? b?? é."
"Or personne, après avoir allumé une lampe, ne la met dans un lieu caché, ni sous le boisseau, mais sur le pied de lampe, afin que ceux qui entrent voient la lumière.","S?mmo t? sum?k n? lambu ny?? c?? p??, pu nth?? d?m kw?' lam po'o g? p? py? wap dy? a y? ts?'."
"La lampe du corps, c’est ton œil; lorsque ton œil est simple, ton corps tout entier aussi est plein de lumière; mais lorsqu’il est méchant, ton corps aussi est ténébreux.","Lambu n? mo b? b?ts? o. B?ts? o p? nth??? b? gu? n?? o aw? g? p? nth??m d?l??; t? b?ts? o p? j??, b? gu? n? o aw? g? p? nth??m j??m."
Prends donc garde que la lumière qui est en toi ne soit ténèbres.,Prends donc garde que la.
"Et l’un des docteurs de la loi, répondant, lui dit : Maître*, en disant ces choses tu nous dis aussi des injures.",Mu' tady?? jy? mco' gh?m bi Yeso g?: Ta o g?m pa?' b?w? j?mt? ba w?k y?k!
"Et il dit : À vous aussi, malheur, docteurs de la loi ! car vous chargez les hommes de fardeaux difficiles à porter, et vous-mêmes vous ne touchez pas ces fardeaux d’un seul de vos doigts.","Yeso pa' bi e g?: Gh?gh?? b? bi po y?, w? mtady? n? zhy? mco'. Po nth?? ?kh?m dz?ts? th? p?mn?? t? bi a p? po l? co' nth? pu y? n? p??."
"Malheur à vous ! car vous bâtissez les tombeaux des prophètes, et vos pères les ont tués.","Gh?gh?? y?, n? pa' po b?m mth?sì mgh?m gh??m Si py? mta p? l? zhw? wap a."
"Vous rendez donc témoignage aux œuvres de vos pères et vous y prenez plaisir ; car eux, ils les ont tués, et vous, vous bâtissez leurs tombeaux.","Po bi? yw? y? mta p? l? gh? a n? pa' wap le jw? mgh?m gh??m Si, po n?? b?w? b?m mth?sì map."
"Et d’autres, pour l’éprouver, lui demandaient un signe du ciel.",Sh? p? p? sh?? n? l??t? e g?m bi e g? e la't? wap mti? my? a f?? m k?b?? a.
"Mais lui, connaissant leurs pensées, leur dit : Tout royaume divisé contre lui-même sera réduit en désert ; et une maison [divisée] contre elle-même* tombe.","Yeso zhy? pa' wap l?? b?w? ?kw? a g?m bi pu g?: Gú? N?fo tsy? a ghapt? a b? gu? bipi?; mla?' simny?, bv?t? p? ta' do ta' dò, sh?? d??m sh??."
"et si Satan aussi est divisé contre lui-même, comment son royaume subsistera-t-il ? parce que vous dites que je chasse les démons par Béelzébul.","A p? g? ba sata ghapt? n? é n? g? mgh?? b?? nth?m shù, b? n?fo e g? pi? p?w? m g? ka? N? pa' po b?w? g?m g?? g?? d? p? Be?lz?bul t? n? j?? mzhweny? cw?pu?."
"Or si c’est par Béelzébul que moi je chasse les démons, vos fils, par qui les chassent-ils ? C’est pourquoi ils seront eux-mêmes vos juges.",A p? g?? g?? d? Be?lz?bul t? n? j?? mzhweny? cw?pu? b? p?kh? p?? d? yap k? t? n? j?? wáp? P?kh? p? g? p? m ya'sh? y??.
"Mais si je chasse les démons par le doigt de Dieu, alors le royaume de Dieu est parvenu jusqu’à vous.",T? a bi a p? g?? g?? d? nth?pu? Si t? n? j?? mzhweny? cw?pu? b? N?fo Si s?' t? ?kho n? po.
"Quand l’homme fort, revêtu de ses armes, garde son palais*, ses biens sont en paix;","Mb? gh? g??' pu a ts? shu, b? byap la' tsy?? b? bi a p? s?myw? l? gh? ts? tsy??."
"mais s’il en survient un plus fort que lui qui le vainque, il lui ôte son armure à laquelle il se confiait, et fait le partage de ses dépouilles.","T? mu' mb? y? e gh? g?' shy?? é a la s??' g?m e, b? e g? kwi ts? shu tsy? e k? n? byap n? é a ghapt? ts? tsy??."
"Celui qui n’est pas avec moi est contre moi ; et celui qui n’assemble pas avec moi, disperse.","Mo y? py? é t?? b? a p? b? g? bo a, Mo y? py?? t? b?mt? shu't? a p? sa't?."
